loss,seg_loss,nll_loss,dice,iou,precision,recall,accuracy,avg_uncertainty,brier_score,ece,ause,spearman_rho,avg_batch_time,epoch
0.9858595271332473,0.8305297347562683,0.31065958876003613,0.6248937063061475,0.46285083435525,0.5930560240525262,0.7003205108659141,0.8743341835516532,0.04512648955673321,0.09254321910909333,0.10388075566991764,0.04757584597023878,0.35610204587644695,0.6376700739065806,1
0.6980602166105285,0.5898932132012068,0.2163340080815415,0.7105017043352542,0.5580105163977352,0.715692945965962,0.7290926113978323,0.9142329595949386,0.019236087175386985,0.06354715587385582,0.043138921608226605,0.01976592554159258,0.35506629438918214,0.6376172191566891,2
0.5980382345334736,0.5044652220274517,0.18714602362492633,0.7508231279087298,0.607015672824001,0.7666198074838361,0.7565490448172617,0.9287148330020342,0.014256770591555307,0.05403557218437851,0.03633609121711869,0.013955957380153521,0.3360072141560763,0.6359870639112261,3
0.5241682249541579,0.44097383974036564,0.16638877211489914,0.7800943485851626,0.645813552009931,0.8003375470203506,0.7792369106156248,0.9374169272944181,0.011669004856815516,0.04759405005416571,0.032477941070892406,0.010782408534984916,0.3258209170844873,0.6358200000392066,4
0.4523464405482823,0.38002055579069877,0.14465177153890935,0.8126048360818291,0.6885191654322586,0.8259444711894863,0.8113435710747651,0.9461961212196297,0.00989319169010738,0.04107048143686085,0.027494415209446916,0.00794584334308114,0.31238647096405936,0.6346887071927388,5
0.4120691762425163,0.34578547928224795,0.13256739288796232,0.8278437645827038,0.7105587670976149,0.844794308758312,0.8213847569601119,0.9509263086873817,0.008553148927435554,0.03752950217979842,0.024154844859990785,0.0063938276958530535,0.30729205808355226,0.6354892181025611,6
0.37998719859678076,0.3185311495201916,0.12291209737163072,0.8411704219849253,0.7295016883023293,0.8595531472069972,0.833186578754751,0.9547896072573859,0.00766797141618729,0.03465605884422938,0.02309031278211549,0.005446195603872689,0.2986446561885703,0.6355746699704065,7
0.3406039702991679,0.2862152770373837,0.10877738615090998,0.8555855925772993,0.7512467779728969,0.8687624515821305,0.8490414731243329,0.9593975336115241,0.007098673718627872,0.030877325597137326,0.019123921459205214,0.004227219164512531,0.29111299305027893,0.634187889099121,8
0.313018533257239,0.2620553125748,0.10192644164954759,0.8693536297237348,0.7713101494639397,0.8833972534275419,0.8613207299869149,0.9625636607708721,0.006230325506176488,0.028666274036569038,0.018433204032643917,0.0035884271282993823,0.28323653878057176,0.6352609568172031,9
0.30669325814763887,0.2567522584066991,0.0998820000356914,0.8717237633315587,0.7748752517930415,0.8828334987639719,0.8667608349635477,0.9629332106864548,0.0061356124252057625,0.028256223387252793,0.018614193233365738,0.00343227647100978,0.2835513958318553,0.6374132123258379,10
0.30127446261823654,0.2524010886144787,0.09774674827665784,0.8729435150803025,0.7772854148368531,0.883101121735018,0.8689983912787946,0.9635600613487724,0.0059354432919019005,0.027692137080328503,0.01750075520836565,0.0034797719183865417,0.28211227418434814,0.638004888428582,11
0.2820232508392871,0.2362119543931268,0.09162259301912788,0.8814478946792123,0.7899325853339828,0.8909320043540324,0.8755148731614617,0.9660728431360802,0.005760312616079787,0.025862899275393734,0.016019262480100632,0.0028281498467630554,0.27523638953287716,0.636703931623035,12
0.27349344308941925,0.2290878371982866,0.08881121089461363,0.8845521926507225,0.7950369482779097,0.8947417781807641,0.8791343787139636,0.9670887265655886,0.005594428720068511,0.02508501641545477,0.015979114338300755,0.0026375217495545017,0.27178390828635246,0.6362629413604737,13
0.25970028308208887,0.21783703007645058,0.08372650653920931,0.8895014747019732,0.8036109554183777,0.8974782434674177,0.8860278345512491,0.9687321865546202,0.00518016541294544,0.023761013537624637,0.014725945581749906,0.0023929220769029033,0.26774240771639796,0.6352714108096229,14
0.23704793211299124,0.19857983639998833,0.07693619203416371,0.8999311940750342,0.8193881513551524,0.9071772616536471,0.8950125036574188,0.9711428844460848,0.004939537595898643,0.021901580803652693,0.01286625671442103,0.002048787158175872,0.26004807381156303,0.6346772438950009,15
0.2372738810132551,0.19887443076781658,0.07679890083506853,0.8994031658227264,0.8186074169860527,0.9058959209368269,0.8958324687519849,0.9711096427141689,0.004890923082444217,0.021886864578731152,0.01337490907563231,0.002014945695625075,0.26112961511799715,0.6361710323227776,16
0.24060727829277287,0.20170335837559966,0.07780784092644263,0.8977696992490556,0.8161815339883776,0.9045011453141599,0.8945212675987659,0.9707203395211809,0.004984723291799462,0.022195651315957483,0.013601436380201868,0.001954659469426972,0.2625346077080194,0.6365722126430935,17
0.26344577814398973,0.2207631957265974,0.08536516528508033,0.8878850837721101,0.8004704538464918,0.8951900292080531,0.8850390674257163,0.9680268956414938,0.005421971832135173,0.02426262073782986,0.015318123780625414,0.002351359745177669,0.2715237343321321,0.6354823648929596,18
0.25552044443969885,0.2138863649373255,0.08326815951197625,0.8921138219180808,0.8071525581763328,0.8981591914833813,0.8906194024634221,0.968809529906058,0.0051591123621516155,0.02368642922106531,0.015267189304847625,0.002237052410292999,0.2689819347825165,0.6342729442649417,19
0.23904903036888045,0.20041433290376892,0.07726939497421748,0.8985150771117865,0.8171072806199006,0.9061873203021199,0.8937756564932674,0.9709571872622075,0.004930351212550862,0.02205140343095723,0.013418796777990218,0.001930806047217445,0.26161624082475887,0.6341571774747636,20
0.20509210794636176,0.1718111766289406,0.0665618626464879,0.9131897996597382,0.8411658279553765,0.9177904715758307,0.9104939496074131,0.974738404253118,0.004508016976088249,0.019087606707808458,0.011191725580078915,0.0014601164408597142,0.24842459147243215,0.6348831295967102,21
