loss,seg_loss,nll_loss,dice,iou,precision,recall,accuracy,avg_uncertainty,brier_score,ece,ause,spearman_rho,avg_batch_time,epoch
1.216892869698583,1.009669694895544,0.4144463462832074,0.5989400950021403,0.43664059738559663,0.5665801196058577,0.6600016029231371,0.8512288309418936,0.0704901427918215,0.12358992939640888,0.190260032378459,0.13512611506392286,0.09238398440428566,2.035604453086853,1
0.9164015020335371,0.7737639452194579,0.28527511526371463,0.7086111476082652,0.550309740325236,0.7011634700204731,0.7266711626627579,0.9097884913085442,0.047688440857413084,0.07576329205942138,0.11378774767870392,0.04689467067663021,0.2520390490988209,2.0916033506393434,2
0.799860338259588,0.6785706748727214,0.2425793281090926,0.7470428832457603,0.5981435490259076,0.7367132317899788,0.7676636731305774,0.9215646886129932,0.038775279326089436,0.0631710393182848,0.09056049625413096,0.03458794564611695,0.26621114520145134,2.086188300450643,3
0.7095733455752035,0.6035723459724752,0.212001996555441,0.7734147054778905,0.6321316030382406,0.7649100193260195,0.7892240495390261,0.9301351938408338,0.03178042448932883,0.05490972305097776,0.07248666093628782,0.025671908805957475,0.27469446564993294,2.071276076634725,4
0.6425012821288273,0.5473715287606391,0.1902595087135364,0.7910037818531396,0.6559985939435307,0.7871690538245052,0.8050217659119808,0.9363328643911785,0.02688693240305623,0.04926591980510099,0.061379584191041295,0.020876132188602303,0.28024552865141034,2.075710267490811,5
0.583336304463045,0.49716285244794967,0.17234690751868761,0.8080978117166355,0.6795563112948246,0.8100295943408925,0.8112927455999819,0.9420122183334003,0.022619969834880557,0.04466717225959128,0.04783355268714234,0.017241332367497336,0.278329037036495,2.088413789537218,6
0.5344982477847633,0.45512340233614973,0.1587496926259481,0.8214208465063063,0.6982762309444079,0.8213193634600637,0.8282811990542808,0.9455117918460392,0.019593415063711744,0.04160878689944765,0.041604212467881825,0.013959413832334977,0.283980157056205,2.056742956903246,7
0.5025803850483008,0.42763928184496025,0.14988220912398212,0.828141811987972,0.7077306453947311,0.8322204909584678,0.8303563300624992,0.9479983541525747,0.017072959289668996,0.03965360340676857,0.03459626639229345,0.012390933951253628,0.2820595508345748,2.0692671987745497,8
0.4569597505537658,0.3886889748251989,0.1365415530383442,0.8429721476055343,0.7295124880055993,0.8496592691806755,0.8401694377705057,0.9526844983425518,0.014879351388954193,0.036000585399591375,0.028317232120851334,0.010393411189592021,0.2777946748884425,2.0675948513878715,9
0.42355509596634505,0.35982199145216376,0.12746620737727876,0.8522653023001633,0.7434048517042665,0.8561897685478942,0.851507645487247,0.9553324152877571,0.013209882212693428,0.0339100336007057,0.0249223470655722,0.009028745452851088,0.27727979108461126,2.063110521104601,10
0.3968381084638902,0.3370878751719317,0.1195004647723831,0.8612354453879539,0.7570294412567865,0.8666488428876068,0.859311399939326,0.9583072957374769,0.012138370709825656,0.03174094167920027,0.02263303766458557,0.007790892545073013,0.2736789721567945,2.068098783493042,11
0.34974582133586307,0.2971072078641399,0.10527722595486635,0.8795799331434819,0.7855045868523132,0.8837313597382005,0.8778667901074899,0.9636335781192813,0.010617764359686204,0.027746869863818694,0.019137337851239493,0.006003987334264923,0.25976963907528633,2.065640772713555,12
0.33490258734770306,0.2840423330266097,0.10172051054947324,0.8829751104975625,0.7910000775869872,0.8912022610470917,0.8784037970055636,0.9647575553898681,0.00973125134981954,0.026918606498136665,0.018154635206259703,0.005679751917966986,0.26009524260331385,2.0659903393851384,13
0.2996251878534683,0.25415746048325755,0.09093545448421894,0.8956037450888455,0.8113987244802782,0.899461780458989,0.8937479615749772,0.9685027855847933,0.008654487389164092,0.02398948113331471,0.015499610192571386,0.004578277436817746,0.2509607776365153,2.065587716632419,14
0.27509923371932454,0.2332925441137574,0.0836133781371534,0.9042328186811942,0.825529841177577,0.9086845924805419,0.9013957833821428,0.9710446114174067,0.007959101084340267,0.02203855339467484,0.01404382571378417,0.003910623168454387,0.24117574967842695,2.0622706360287135,15
0.24723762485479142,0.20994510097133487,0.07458504640308673,0.9138815445840338,0.8416976227077936,0.9163940515978629,0.9126524098137262,0.9740465384425699,0.007195919602345928,0.019671067075959798,0.012679496130737418,0.003082873323413415,0.23716760233113549,2.056737701098124,16
0.23029370947549144,0.19545700637861108,0.06967340449609455,0.9192723661050403,0.8508233980778068,0.9219421649111688,0.9177493766058895,0.9756149497037134,0.006566634329055934,0.0184301010748037,0.011635252787572088,0.0026175815446451748,0.23288744029688152,2.0640101273854574,17
0.2069773662158622,0.17565422328903924,0.062646286099497,0.9273038595531831,0.864581567498287,0.9300118835074241,0.925288133424121,0.9780416485749006,0.0059618904781322405,0.016557545035937753,0.009810720828659684,0.0021621933348522824,0.22304907988793174,2.06501149336497,18
0.1886120324449102,0.16017903743124787,0.056865990524202555,0.9331681838504305,0.8748596036297532,0.9336696248909134,0.9331827235122487,0.9798341668616901,0.005472941048988072,0.015136345589197667,0.008809965772516215,0.001700889224480267,0.21921458892344942,2.0673777447806465,19
0.1777740272539032,0.15098420564976778,0.05357964271398086,0.9368231271695412,0.8812525843571938,0.9375767298314505,0.9365169716692915,0.9809357147740175,0.005145661398469522,0.014310389630995967,0.008316323742095774,0.001481721095834445,0.21429414757887977,2.0619283305274116,20
0.16165254870381113,0.13727488799118343,0.048755321382554964,0.9422620599698011,0.8908967259403069,0.9427211912152833,0.9423341157743607,0.9824995841984949,0.004788245230210546,0.013065434524225936,0.007892364277194341,0.0012079248795274175,0.20782300676622892,2.0674793587790594,21
